Time,CH 1 Object Temperature,CH 1 Actual Output Current,CH 1 Actual Output Voltage
2024-10-21 08:04:51,20.000930786132812,-0.5260147452354431,-1.6309146881103516
2024-10-21 08:04:51,20.000930786132812,-0.5260147452354431,-1.6309146881103516
2024-10-21 08:04:52,20.000595092773438,-0.5221080780029297,-1.6191636323928833
2024-10-21 08:04:53,19.998916625976562,-0.5400318503379822,-1.6512162685394287
2024-10-21 08:04:54,19.997146606445312,-0.5349058508872986,-1.6459611654281616
2024-10-21 08:04:55,19.995468139648438,-0.5437509417533875,-1.6666606664657593
2024-10-21 08:04:56,19.994277954101562,-0.5478618741035461,-1.6720913648605347
2024-10-21 08:04:57,19.991775512695312,-0.5526503920555115,-1.687592625617981
2024-10-21 08:04:58,19.990249633789062,-0.549271821975708,-1.6834659576416016
2024-10-21 08:04:59,19.991622924804688,-0.5521196126937866,-1.6869481801986694
2024-10-21 08:05:00,19.992996215820312,-0.542428195476532,-1.667401671409607
2024-10-21 08:05:01,19.993484497070312,-0.5605480670928955,-1.705201268196106
2024-10-21 08:05:02,19.995681762695312,-0.5567923784255981,-1.6982332468032837
2024-10-21 08:05:03,19.998703002929688,-0.5449193120002747,-1.671897530555725
2024-10-21 08:05:04,20.000686645507812,-0.5418923497200012,-1.6619402170181274
2024-10-21 08:05:05,19.999160766601562,-0.5552051067352295,-1.6939984560012817
2024-10-21 08:05:06,19.997665405273438,-0.5638359189033508,-1.7123078107833862
2024-10-21 08:05:07,19.998184204101562,-0.550874650478363,-1.6885837316513062
2024-10-21 08:05:08,19.999008178710938,-0.5411735773086548,-1.6691632270812988
2024-10-21 08:05:09,20.001022338867188,-0.5451046228408813,-1.674200415611267
2024-10-21 08:05:09,20.001022338867188,-0.5451046228408813,-1.674200415611267
2024-10-21 08:05:10,20.002639770507812,-0.5384957194328308,-1.6588090658187866
2024-10-21 08:05:11,20.002517700195312,-0.548132598400116,-1.6831040382385254
2024-10-21 08:05:12,20.002334594726562,-0.4966978132724762,-1.5748779773712158
2024-10-21 08:05:13,19.998489379882812,-0.4580657482147217,-1.4881631135940552
2024-10-21 08:05:14,19.984390258789062,-0.41798701882362366,-1.3873560428619385
2024-10-21 08:05:16,19.958572387695312,-0.38056302070617676,-1.2894580364227295
2024-10-21 08:05:17,19.924484252929688,-0.33384019136428833,-1.1808453798294067
2024-10-21 08:05:18,19.874618530273438,-0.28837135434150696,-1.0694814920425415
2024-10-21 08:05:19,19.810348510742188,-0.24486924707889557,-0.9657554626464844
2024-10-21 08:05:20,19.738204956054688,-0.2177787870168686,-0.8840234875679016
2024-10-21 08:05:21,19.645278930664062,-0.1777370572090149,-0.7796211838722229
2024-10-21 08:05:22,19.536666870117188,-0.17999687790870667,-0.7642331719398499
2024-10-21 08:05:23,19.429519653320312,-0.2513096034526825,-0.8967586159706116
2024-10-21 08:05:24,19.311630249023438,-0.2784821391105652,-0.9589726328849792
2024-10-21 08:05:25,19.212844848632812,-0.3218230903148651,-1.0520793199539185
2024-10-21 08:05:26,19.114181518554688,-0.3654296398162842,-1.1499683856964111
2024-10-21 08:05:27,19.031723022460938,-0.4042023718357086,-1.2384247779846191
2024-10-21 08:05:28,18.969619750976562,-0.42781779170036316,-1.310853123664856
2024-10-21 08:05:29,18.915237426757812,-0.4884255826473236,-1.4546712636947632
2024-10-21 08:05:29,18.915237426757812,-0.4884255826473236,-1.4546712636947632
2024-10-21 08:05:30,18.878982543945312,-0.5313683748245239,-1.5544227361679077
2024-10-21 08:05:31,18.861404418945312,-0.5612720251083374,-1.6331490278244019
2024-10-21 08:05:32,18.856918334960938,-0.5614708065986633,-1.6550538539886475
2024-10-21 08:05:33,18.865127563476562,-0.5570849776268005,-1.6591259241104126
2024-10-21 08:05:34,18.883316040039062,-0.5511742234230042,-1.6601001024246216
2024-10-21 08:05:35,18.906814575195312,-0.5422380566596985,-1.6402661800384521
2024-10-21 08:05:36,18.929031372070312,-0.5417574644088745,-1.636425495147705
2024-10-21 08:05:37,18.951675415039062,-0.5305190086364746,-1.6169580221176147
2024-10-21 08:05:38,18.973434448242188,-0.5249531269073486,-1.601213812828064
2024-10-21 08:05:39,18.989303588867188,-0.5236762762069702,-1.6006784439086914
2024-10-21 08:05:40,19.006088256835938,-0.5108640193939209,-1.5689728260040283
2024-10-21 08:05:42,19.017715454101562,-0.5055974125862122,-1.555394172668457
2024-10-21 08:05:43,19.026657104492188,-0.49744775891304016,-1.5383576154708862
2024-10-21 08:05:44,19.033187866210938,-0.49048537015914917,-1.5196776390075684
2024-10-21 08:05:45,19.035018920898438,-0.4952816069126129,-1.5360705852508545
2024-10-21 08:05:46,19.036361694335938,-0.49192696809768677,-1.5176483392715454
2024-10-21 08:05:47,19.036544799804688,-0.47248169779777527,-1.4803370237350464
2024-10-21 08:05:48,19.031661987304688,-0.4907841980457306,-1.5137277841567993
2024-10-21 08:05:48,19.031661987304688,-0.4907841980457306,-1.5137277841567993
2024-10-21 08:05:49,19.027450561523438,-0.4771290421485901,-1.4897857904434204
2024-10-21 08:05:50,19.019485473632812,-0.5024940967559814,-1.5340145826339722
2024-10-21 08:05:51,19.011276245117188,-0.5058075785636902,-1.5429600477218628
2024-10-21 08:05:52,19.006423950195312,-0.49936944246292114,-1.5321625471115112
2024-10-21 08:05:53,19.002029418945312,-0.5054824948310852,-1.5455307960510254
2024-10-21 08:05:54,18.997390747070312,-0.5093861818313599,-1.5541287660598755
2024-10-21 08:05:55,18.996597290039062,-0.43409645557403564,-1.4143410921096802
