Sheet,Cell,StartTime,EndTime,Gain,Mean,StDev,Temperature
Sheet9,B3,2024-05-01 13:18:15,2024-05-01 13:19:47,67,20935,2056,10.02367
Sheet9,B4,2024-05-01 13:18:15,2024-05-01 13:19:47,67,18274,1030,10.02367
Sheet9,C1,2024-05-01 13:18:15,2024-05-01 13:19:47,67,39205,2280,10.02367
Sheet9,C2,2024-05-01 13:18:15,2024-05-01 13:19:47,67,30938,2777,10.02367
Sheet9,C3,2024-05-01 13:18:15,2024-05-01 13:19:47,67,21195,1185,10.02367
Sheet9,C4,2024-05-01 13:18:15,2024-05-01 13:19:47,67,16203,582,10.02367
Sheet10,B1,2024-05-01 13:22:20,2024-05-01 13:23:53,67,38388,2544,15.01772
Sheet10,B2,2024-05-01 13:22:20,2024-05-01 13:23:53,67,35268,3025,15.01772
Sheet10,B3,2024-05-01 13:22:20,2024-05-01 13:23:53,67,18966,1924,15.01772
Sheet10,B4,2024-05-01 13:22:20,2024-05-01 13:23:53,67,16149,920,15.01772
Sheet10,C1,2024-05-01 13:22:20,2024-05-01 13:23:53,67,36404,2054,15.01772
Sheet10,C2,2024-05-01 13:22:20,2024-05-01 13:23:53,67,28555,2700,15.01772
Sheet10,C3,2024-05-01 13:22:20,2024-05-01 13:23:53,67,19040,1119,15.01772
Sheet10,C4,2024-05-01 13:22:20,2024-05-01 13:23:53,67,14393,512,15.01772
Sheet11,B1,2024-05-01 13:26:12,2024-05-01 13:27:44,68,39082,2652,20.00386
Sheet11,B2,2024-05-01 13:26:12,2024-05-01 13:27:44,68,35961,3238,20.00386
Sheet11,B3,2024-05-01 13:26:12,2024-05-01 13:27:44,68,18850,1975,20.00386
Sheet11,B4,2024-05-01 13:26:12,2024-05-01 13:27:44,68,15877,923,20.00386
Sheet11,C1,2024-05-01 13:26:12,2024-05-01 13:27:44,68,36893,2230,20.00386
Sheet11,C2,2024-05-01 13:26:12,2024-05-01 13:27:44,68,28889,2894,20.00386
Sheet11,C3,2024-05-01 13:26:12,2024-05-01 13:27:44,68,18655,1093,20.00386
Sheet11,C4,2024-05-01 13:26:12,2024-05-01 13:27:44,68,14144,528,20.00386
Sheet12,B1,2024-05-01 13:30:14,2024-05-01 13:31:47,69,39808,2729,25.00014
Sheet12,B2,2024-05-01 13:30:14,2024-05-01 13:31:47,69,36609,3450,25.00014
Sheet12,B3,2024-05-01 13:30:14,2024-05-01 13:31:47,69,18698,2026,25.00014
Sheet12,B4,2024-05-01 13:30:14,2024-05-01 13:31:47,69,15613,900,25.00014
Sheet12,C1,2024-05-01 13:30:14,2024-05-01 13:31:47,69,37221,2250,25.00014
Sheet12,C2,2024-05-01 13:30:14,2024-05-01 13:31:47,69,29128,3038,25.00014
Sheet12,C3,2024-05-01 13:30:14,2024-05-01 13:31:47,69,18306,1049,25.00014
Sheet12,C4,2024-05-01 13:30:14,2024-05-01 13:31:47,69,13974,523,25.00014
Sheet13,B1,2024-05-01 13:33:53,2024-05-01 13:35:26,70,39955,2829,29.99626
Sheet13,B2,2024-05-01 13:33:53,2024-05-01 13:35:26,70,36817,3530,29.99626
Sheet13,B3,2024-05-01 13:33:53,2024-05-01 13:35:26,70,18511,2074,29.99626
Sheet13,B4,2024-05-01 13:33:53,2024-05-01 13:35:26,70,15482,868,29.99626
Sheet13,C1,2024-05-01 13:33:53,2024-05-01 13:35:26,70,37311,2348,29.99626
Sheet13,C2,2024-05-01 13:33:53,2024-05-01 13:35:26,70,29196,3194,29.99626
Sheet13,C3,2024-05-01 13:33:53,2024-05-01 13:35:26,70,18053,1026,29.99626
Sheet13,C4,2024-05-01 13:33:53,2024-05-01 13:35:26,70,13908,528,29.99626
Sheet14,B1,2024-05-01 13:37:34,2024-05-01 13:39:07,71,39814,2985,34.99217
Sheet14,B2,2024-05-01 13:37:34,2024-05-01 13:39:07,71,36879,3802,34.99217
Sheet14,B3,2024-05-01 13:37:34,2024-05-01 13:39:07,71,18453,2165,34.99217
Sheet14,B4,2024-05-01 13:37:34,2024-05-01 13:39:07,71,15523,899,34.99217
Sheet14,C1,2024-05-01 13:37:34,2024-05-01 13:39:07,71,37112,2410,34.99217
Sheet14,C2,2024-05-01 13:37:34,2024-05-01 13:39:07,71,29290,3477,34.99217
Sheet14,C3,2024-05-01 13:37:34,2024-05-01 13:39:07,71,17907,1050,34.99217
Sheet14,C4,2024-05-01 13:37:34,2024-05-01 13:39:07,71,13973,512,34.99217
Sheet15,B1,2024-05-01 13:41:58,2024-05-01 13:43:30,72,39130,3048,39.99178
Sheet15,B2,2024-05-01 13:41:58,2024-05-01 13:43:30,72,36271,4075,39.99178
Sheet15,B3,2024-05-01 13:41:58,2024-05-01 13:43:30,72,18429,2245,39.99178
Sheet15,B4,2024-05-01 13:41:58,2024-05-01 13:43:30,72,15626,923,39.99178
Sheet15,C1,2024-05-01 13:41:58,2024-05-01 13:43:30,72,36461,2468,39.99178
Sheet15,C2,2024-05-01 13:41:58,2024-05-01 13:43:30,72,28666,3807,39.99178
Sheet15,C3,2024-05-01 13:41:58,2024-05-01 13:43:30,72,17806,1068,39.99178
Sheet15,C4,2024-05-01 13:41:58,2024-05-01 13:43:30,72,14127,483,39.99178
Sheet16,B1,2024-05-01 13:46:07,2024-05-01 13:47:40,73,37954,3164,44.9908
Sheet16,B2,2024-05-01 13:46:07,2024-05-01 13:47:40,73,34954,4284,44.9908
Sheet16,B3,2024-05-01 13:46:07,2024-05-01 13:47:40,73,18549,2327,44.9908
